Parameter,Value
K1,3000
K2,3
K3,400
K4,1
K5i,400000
K6i,150
K,850
Rmax,10
Umax,2000
tau1,1
tau2,13
phi1,0.0025
phi2,1.02
phi3,0.000125
phi4,1.001
CS0,0.03
B0,0.00043
T0,0.00007
C1i,0.154
C1n1,0.01
C1n2,0.15
C1n3,0.01
C1n4,85
C2i,0.11
C2n1,-0.0315
C2n2,0.27
C2n3,0.015
C2n4,70
C3,54.717
C4,-18.847
C5,3.905
alpha_i,1.65
alpha1,4.77
alpha2,400
alpha3,160
beta,0.09
gamma,0.0002
Kse,0.16
p0,100.3
g1,-0.8332
g2,-17.2907
g3,0.1579
a0,0.003988036
b0,99.7
c0,-0.569292124
d0,42.2
AM,0.105
LM,0.8
sf,1
cv,100
