Parameter,Value
K1,3000
K2,3
K3,400
K4,1
K5i,400000
K6i,150
K,850
Rmax,10
Umax,2000
tau1,3
tau2,25
phi1,0.03
phi2,1.23
phi3,0.01
phi4,1.08
CS0,0.03
B0,0.00043
T0,0.00007
C1i,0.128
C1n1,0
C1n2,0.15
C1n3,0.01
C1n4,0.0001
C2i,0.093
C2n1,0
C2n2,0.27
C2n3,0.015
C2n4,0.0001
C3,61.206
C4,-13.116
C5,5.095
alpha_i,2
alpha1,4.77
alpha2,400
alpha3,160
beta,0.47
gamma,0.001
Kse,0.4
p0,23
g1,-8
g2,21.4
g3,0
a0,0.1022
b0,24.35
c0,-0.3217
d0,30.3
AM,0.105
LM,0.8
sf,1
cv,100
